Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Job Hero,,https://www.jobhero.com/job-description/examples/medical/transcriptionist
Hard Skills,LOW,Visual,Analyze/Apply,Office Skills,Office Skills,You Tube,https://www.youtube.com/watch?v=OayCm263kIM
Hard Skills,LOW,Visual,Analyze/Apply,Office Skills,Healthcare Administration,You Tube,https://www.youtube.com/watch?v=4reRbEkecfY
Hard Skills,LOW,Visual,Analyze/Apply,Office Skills,,Safety Manager,You Tube,https://www.youtube.com/watch?v=xHYOFjobc88
Hard Skills,LOW,Visual,Analyze/Apply,Office Skills,Ultrasound Tech,You Tube,https://www.youtube.com/watch?v=uEfeW7sh9mM
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Environmental Science,,https://www.environmentalscience.org/career/sustainability-specialist
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Monster,,https://hiring.monster.com
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Better Team,Health System Specialist,https://www.betterteam.com/health-system-specialist-job-description
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Salary,,https://www.salary.com/research/job-description/benchmark/safety-specialist-job-description
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Learning Path,,https://learningpath.org/articles/Sonographer_Career_Profile.html
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Better Team,Public Relations,https://www.betterteam.com/public-relations-job-description
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,You Tube,You Tube,https://www.youtube.com/watch?v=W080WDBjYyw
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,You Tube,You Tube,https://www.youtube.com/watch?v=cXx2l_MtDG4
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,You Tube,You Tube,https://www.youtube.com/watch?v=nD9mPqTBAw0
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,You Tube,You Tube,https://www.youtube.com/watch?v=wBYsBvaK-VU
